tract,dt,key,value,per_change
18141000400,2020-06-01,Total Spend - Retail categories - Metro - All origins,34,0.25925925925925924
18141000400,2020-05-01,Total Spend - Retail categories - Metro - All origins,31,0.14814814814814814
18141000400,2020-04-01,Total Spend - Retail categories - Metro - All origins,28,0.037037037037037035
18141000400,2020-03-01,Total Spend - Retail categories - Metro - All origins,25,-0.07407407407407407
18141000400,2020-02-01,Total Spend - Retail categories - Metro - All origins,23,-0.14814814814814814
18141000400,2020-01-01,Total Spend - Retail categories - Metro - All origins,27,0
18141000400,2019-12-01,Total Spend - Retail categories - Metro - All origins,27,0
18141000400,2019-11-01,Total Spend - Retail categories - Metro - All origins,30,0.1111111111111111
18141000400,2019-10-01,Total Spend - Retail categories - Metro - All origins,28,0.037037037037037035
18141000400,2019-09-01,Total Spend - Retail categories - Metro - All origins,26,-0.037037037037037035
18141000400,2019-08-01,Total Spend - Retail categories - Metro - All origins,28,0.037037037037037035
18141000400,2019-07-01,Total Spend - Retail categories - Metro - All origins,27,0
18141000400,2019-06-01,Total Spend - Retail categories - Metro - All origins,28,0.037037037037037035
18141000400,2019-05-01,Total Spend - Retail categories - Metro - All origins,28,0.037037037037037035
18141000400,2019-04-01,Total Spend - Retail categories - Metro - All origins,29,0.07407407407407407
18141000400,2019-03-01,Total Spend - Retail categories - Metro - All origins,30,0.1111111111111111
18141000400,2019-02-01,Total Spend - Retail categories - Metro - All origins,27,0
18141000400,2019-01-01,Total Spend - Retail categories - Metro - All origins,24,-0.1111111111111111
18141000400,2018-12-01,Total Spend - Retail categories - Metro - All origins,26,-0.037037037037037035
18141000400,2018-11-01,Total Spend - Retail categories - Metro - All origins,28,0.037037037037037035
18141000400,2018-10-01,Total Spend - Retail categories - Metro - All origins,28,0.037037037037037035
18141000400,2018-09-01,Total Spend - Retail categories - Metro - All origins,27,0
18141000400,2018-08-01,Total Spend - Retail categories - Metro - All origins,27,0
18141000400,2018-07-01,Total Spend - Retail categories - Metro - All origins,27,0
18141000400,2018-06-01,Total Spend - Retail categories - Metro - All origins,29,0.07407407407407407
18141000400,2018-05-01,Total Spend - Retail categories - Metro - All origins,31,0.14814814814814814
18141000400,2018-04-01,Total Spend - Retail categories - Metro - All origins,29,0.07407407407407407
18141000400,2018-03-01,Total Spend - Retail categories - Metro - All origins,32,0.18518518518518517
18141000400,2018-02-01,Total Spend - Retail categories - Metro - All origins,29,0.07407407407407407
18141000400,2018-01-01,Total Spend - Retail categories - Metro - All origins,24,-0.1111111111111111
18141000500,2020-06-01,Total Spend - Retail categories - Metro - All origins,34,0.25925925925925924
18141000500,2020-05-01,Total Spend - Retail categories - Metro - All origins,31,0.14814814814814814
18141000500,2020-04-01,Total Spend - Retail categories - Metro - All origins,28,0.037037037037037035
18141000500,2020-03-01,Total Spend - Retail categories - Metro - All origins,25,-0.07407407407407407
18141000500,2020-02-01,Total Spend - Retail categories - Metro - All origins,23,-0.14814814814814814
18141000500,2020-01-01,Total Spend - Retail categories - Metro - All origins,27,0
