Category,Claimants,mnth
8th Grade or Less,321,2020-04-01
Grades 9-11,1968,2020-04-01
H.S. Grad or Equivalent,11243,2020-04-01
Post High School Education,10429,2020-04-01
Unknown,654,2020-04-01
8th Grade or Less,162,2020-08-01
Grades 9-11,1296,2020-08-01
H.S. Grad or Equivalent,5901,2020-08-01
Post High School Education,4776,2020-08-01
Unknown,269,2020-08-01
8th Grade or Less,79,2020-12-01
Grades 9-11,596,2020-12-01
H.S. Grad or Equivalent,3249,2020-12-01
Post High School Education,2478,2020-12-01
Unknown,139,2020-12-01
8th Grade or Less,21,2020-02-01
Grades 9-11,144,2020-02-01
H.S. Grad or Equivalent,859,2020-02-01
Post High School Education,710,2020-02-01
Unknown,25,2020-02-01
8th Grade or Less,58,2021-02-01
Grades 9-11,507,2021-02-01
H.S. Grad or Equivalent,2776,2021-02-01
Post High School Education,1869,2021-02-01
Unknown,132,2021-02-01
8th Grade or Less,27,2020-01-01
Grades 9-11,197,2020-01-01
H.S. Grad or Equivalent,1051,2020-01-01
Post High School Education,770,2020-01-01
Unknown,33,2020-01-01
8th Grade or Less,125,2021-01-01
Grades 9-11,1314,2021-01-01
H.S. Grad or Equivalent,5607,2021-01-01
Post High School Education,3508,2021-01-01
Unknown,274,2021-01-01
8th Grade or Less,227,2020-07-01
Grades 9-11,2021,2020-07-01
H.S. Grad or Equivalent,8757,2020-07-01
Post High School Education,7248,2020-07-01
Unknown,433,2020-07-01
8th Grade or Less,249,2020-06-01
Grades 9-11,1724,2020-06-01
H.S. Grad or Equivalent,8267,2020-06-01
Post High School Education,7283,2020-06-01
Unknown,398,2020-06-01
8th Grade or Less,136,2020-03-01
Grades 9-11,931,2020-03-01
H.S. Grad or Equivalent,5068,2020-03-01
Post High School Education,4212,2020-03-01
Unknown,276,2020-03-01
8th Grade or Less,54,2021-03-01
Grades 9-11,453,2021-03-01
H.S. Grad or Equivalent,2524,2021-03-01
Post High School Education,1796,2021-03-01
Unknown,115,2021-03-01
8th Grade or Less,307,2020-05-01
Grades 9-11,1982,2020-05-01
H.S. Grad or Equivalent,10419,2020-05-01
Post High School Education,9087,2020-05-01
Unknown,553,2020-05-01
8th Grade or Less,73,2020-11-01
Grades 9-11,685,2020-11-01
H.S. Grad or Equivalent,3391,2020-11-01
Post High School Education,2863,2020-11-01
Unknown,157,2020-11-01
8th Grade or Less,111,2020-10-01
Grades 9-11,1070,2020-10-01
H.S. Grad or Equivalent,4350,2020-10-01
Post High School Education,3198,2020-10-01
Unknown,195,2020-10-01
8th Grade or Less,106,2020-09-01
Grades 9-11,957,2020-09-01
H.S. Grad or Equivalent,4601,2020-09-01
Post High School Education,3722,2020-09-01
Unknown,219,2020-09-01
