Occupational Group Description,SOC Code,Claimants,mnth
Production Occupations,510,3791,2020-04-01
Office and Administrative Support Occupations,430,3222,2020-04-01
Management Occupations,110,2705,2020-04-01
Food Preparation and Serving Related Occupations,350,2657,2020-04-01
Sales and Related Occupations,410,1811,2020-04-01
"Installation, Maintenance, and Repair Occs",490,1546,2020-04-01
Construction and Extraction Occupations,470,1380,2020-04-01
Healthcare Practitioners and Technical Occupations,290,1308,2020-04-01
Transportation and Material Moving Occupations,530,1212,2020-04-01
Personal Care and Service Occupations,390,959,2020-04-01
Healthcare Support Occupations,310,844,2020-04-01
Building and Grounds Cleaning and Maintenance Occ,370,610,2020-04-01
Business and Financial Operations Occupations,130,542,2020-04-01
"Arts, Design, Entertainment, Sports, and Media Occ",270,507,2020-04-01
Architecture and Engineering Occupations,170,488,2020-04-01
"Education, Training, and Library Occupations",250,295,2020-04-01
Community and Social Services Occupations,210,201,2020-04-01
Protective Service Occupations,330,187,2020-04-01
Computer and Mathematical Occupations,150,158,2020-04-01
"Life, Physical, and Social Science Occupations",190,93,2020-04-01
Legal Occupations,230,41,2020-04-01
"Farming, Fishing, and Forestry Occupations",450,41,2020-04-01
Military Specific Occupations,550,NA,2020-04-01
Code 000,000,NA,2020-04-01
Office and Administrative Support Occupations,430,1755,2020-08-01
Management Occupations,110,1530,2020-08-01
Food Preparation and Serving Related Occupations,350,1510,2020-08-01
Production Occupations,510,1406,2020-08-01
Sales and Related Occupations,410,927,2020-08-01
Construction and Extraction Occupations,470,764,2020-08-01
Transportation and Material Moving Occupations,530,628,2020-08-01
"Installation, Maintenance, and Repair Occs",490,543,2020-08-01
Building and Grounds Cleaning and Maintenance Occ,370,514,2020-08-01
Healthcare Support Occupations,310,472,2020-08-01
Personal Care and Service Occupations,390,461,2020-08-01
Healthcare Practitioners and Technical Occupations,290,337,2020-08-01
Business and Financial Operations Occupations,130,322,2020-08-01
Architecture and Engineering Occupations,170,281,2020-08-01
"Arts, Design, Entertainment, Sports, and Media Occ",270,270,2020-08-01
"Education, Training, and Library Occupations",250,256,2020-08-01
Community and Social Services Occupations,210,121,2020-08-01
Protective Service Occupations,330,115,2020-08-01
Computer and Mathematical Occupations,150,85,2020-08-01
"Life, Physical, and Social Science Occupations",190,54,2020-08-01
Legal Occupations,230,24,2020-08-01
"Farming, Fishing, and Forestry Occupations",450,24,2020-08-01
Military Specific Occupations,550,NA,2020-08-01
Code 000,000,NA,2020-08-01
