dt,Candidates,msa,indicator,per_change,var
2020-06-26,10051,South Bend - Mishawaka,Total Candidates,0.4075059515474023,Total Candidates
2020-06-26,2219,South Bend - Mishawaka,Occupation Group,0.505427408412483,Production Occupations
2020-06-26,1384,South Bend - Mishawaka,Occupation Group,0.443169968717414,Office and Administrative Support Occupations
2020-06-26,1258,South Bend - Mishawaka,Occupation Group,0.5102040816326531,Management Occupations
2020-06-26,1099,South Bend - Mishawaka,Occupation Group,0.541374474053296,Transportation and Material Moving Occupations
2020-06-26,617,South Bend - Mishawaka,Occupation Group,0.36504424778761063,Sales and Related Occupations
2020-06-26,583,South Bend - Mishawaka,Occupation Group,0.2673913043478261,Construction and Extraction Occupations
2020-06-26,535,South Bend - Mishawaka,Occupation Group,0.3080684596577017,"Installation, Maintenance, and Repair Occupations"
2020-06-26,463,South Bend - Mishawaka,Occupation Group,0.32664756446991405,Architecture and Engineering Occupations
2020-06-26,378,South Bend - Mishawaka,Occupation Group,0.36462093862815886,Business and Financial Operations Occupations
2020-06-26,327,South Bend - Mishawaka,Occupation Group,0.2625482625482625,Healthcare Support Occupations
2020-06-26,327,South Bend - Mishawaka,Occupation Group,0.4034334763948498,Computer and Mathematical Occupations
2020-06-26,317,South Bend - Mishawaka,Occupation Group,0.3964757709251101,Healthcare Practitioners and Technical Occupations
2020-06-26,311,South Bend - Mishawaka,Occupation Group,0.20077220077220076,Food Preparation and Serving Related Occupations
2020-06-26,294,South Bend - Mishawaka,Occupation Group,0.5233160621761658,"Arts, Design, Entertainment, Sports, and Media Occ"
2020-06-26,199,South Bend - Mishawaka,Occupation Group,0.13068181818181818,Building & Grounds Cleaning & Maintenance Occup.
2020-06-26,163,South Bend - Mishawaka,Occupation Group,0.5673076923076923,"Education, Training, and Library Occupations"
2020-06-26,160,South Bend - Mishawaka,Occupation Group,0.32231404958677684,Community and Social Services Occupations
2020-06-26,133,South Bend - Mishawaka,Occupation Group,0.4148936170212766,Protective Service Occupations
2020-06-26,126,South Bend - Mishawaka,Occupation Group,-0.007874015748031496,Personal Care and Service Occupations
2020-06-26,126,South Bend - Mishawaka,Occupation Group,0.21153846153846154,"Life, Physical, and Social Science Occupations"
2020-06-26,52,South Bend - Mishawaka,Occupation Group,0.5757575757575758,Legal Occupations
2020-06-26,34,South Bend - Mishawaka,Occupation Group,0.7894736842105263,"Farming, Fishing, and Forestry Occupations"
2020-06-26,28,South Bend - Mishawaka,Occupation Group,0.75,Military Specific Occupations
2020-06-27,10036,South Bend - Mishawaka,Total Candidates,0.40540540540540543,Total Candidates
2020-06-27,2219,South Bend - Mishawaka,Occupation Group,0.505427408412483,Production Occupations
2020-06-27,1383,South Bend - Mishawaka,Occupation Group,0.4421272158498436,Office and Administrative Support Occupations
2020-06-27,1255,South Bend - Mishawaka,Occupation Group,0.5066026410564226,Management Occupations
2020-06-27,1096,South Bend - Mishawaka,Occupation Group,0.5371669004207573,Transportation and Material Moving Occupations
2020-06-27,618,South Bend - Mishawaka,Occupation Group,0.3672566371681416,Sales and Related Occupations
2020-06-27,583,South Bend - Mishawaka,Occupation Group,0.2673913043478261,Construction and Extraction Occupations
2020-06-27,534,South Bend - Mishawaka,Occupation Group,0.3056234718826406,"Installation, Maintenance, and Repair Occupations"
2020-06-27,464,South Bend - Mishawaka,Occupation Group,0.32951289398280803,Architecture and Engineering Occupations
2020-06-27,377,South Bend - Mishawaka,Occupation Group,0.36101083032490977,Business and Financial Operations Occupations
2020-06-27,327,South Bend - Mishawaka,Occupation Group,0.4034334763948498,Computer and Mathematical Occupations
2020-06-27,325,South Bend - Mishawaka,Occupation Group,0.2548262548262548,Healthcare Support Occupations
2020-06-27,313,South Bend - Mishawaka,Occupation Group,0.3788546255506608,Healthcare Practitioners and Technical Occupations
2020-06-27,311,South Bend - Mishawaka,Occupation Group,0.20077220077220076,Food Preparation and Serving Related Occupations
2020-06-27,293,South Bend - Mishawaka,Occupation Group,0.5181347150259067,"Arts, Design, Entertainment, Sports, and Media Occ"
2020-06-27,198,South Bend - Mishawaka,Occupation Group,0.125,Building & Grounds Cleaning & Maintenance Occup.
2020-06-27,162,South Bend - Mishawaka,Occupation Group,0.5576923076923077,"Education, Training, and Library Occupations"
2020-06-27,160,South Bend - Mishawaka,Occupation Group,0.32231404958677684,Community and Social Services Occupations
2020-06-27,133,South Bend - Mishawaka,Occupation Group,0.4148936170212766,Protective Service Occupations
2020-06-27,126,South Bend - Mishawaka,Occupation Group,-0.007874015748031496,Personal Care and Service Occupations
2020-06-27,126,South Bend - Mishawaka,Occupation Group,0.21153846153846154,"Life, Physical, and Social Science Occupations"
2020-06-27,52,South Bend - Mishawaka,Occupation Group,0.5757575757575758,Legal Occupations
