dt,key,total,per_change
2019-01-01,Bldgs,9,-0.4
2019-02-01,Bldgs,25,0.6666666666666666
2019-03-01,Bldgs,27,0.8
2019-04-01,Bldgs,29,0.9333333333333333
2019-05-01,Bldgs,23,0.5333333333333333
2019-06-01,Bldgs,37,1.4666666666666666
2019-07-01,Bldgs,23,0.5333333333333333
2019-08-01,Bldgs,34,1.2666666666666666
2019-09-01,Bldgs,25,0.6666666666666666
2019-10-01,Bldgs,25,0.6666666666666666
2019-11-01,Bldgs,29,0.9333333333333333
2019-12-01,Bldgs,36,1.4
2020-01-01,Bldgs,15,0
2020-02-01,Bldgs,14,-0.06666666666666667
2020-03-01,Bldgs,30,1
2020-04-01,Bldgs,16,0.06666666666666667
2020-05-01,Bldgs,17,0.13333333333333333
2020-06-01,Bldgs,34,1.2666666666666666
2020-07-01,Bldgs,30,1
2020-08-01,Bldgs,32,1.1333333333333333
2020-09-01,Bldgs,19,0.26666666666666666
2020-10-01,Bldgs,34,1.2666666666666666
2020-11-01,Bldgs,18,0.2
2020-12-01,Bldgs,25,0.6666666666666666
2019-01-01,Units,9,-0.4
2019-02-01,Units,25,0.6666666666666666
2019-03-01,Units,27,0.8
2019-04-01,Units,29,0.9333333333333333
2019-05-01,Units,23,0.5333333333333333
2019-06-01,Units,37,1.4666666666666666
2019-07-01,Units,23,0.5333333333333333
2019-08-01,Units,34,1.2666666666666666
2019-09-01,Units,25,0.6666666666666666
2019-10-01,Units,25,0.6666666666666666
2019-11-01,Units,29,0.9333333333333333
2019-12-01,Units,36,1.4
2020-01-01,Units,15,0
2020-02-01,Units,14,-0.06666666666666667
2020-03-01,Units,30,1
2020-04-01,Units,16,0.06666666666666667
2020-05-01,Units,17,0.13333333333333333
2020-06-01,Units,34,1.2666666666666666
2020-07-01,Units,30,1
2020-08-01,Units,32,1.1333333333333333
2020-09-01,Units,19,0.26666666666666666
2020-10-01,Units,34,1.2666666666666666
2020-11-01,Units,18,0.2
2020-12-01,Units,25,0.6666666666666666
