state_code,area_code,measure,area,dt,value,last_yr_value,change,per_change
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-01-01,4.4,NA,NA,NA
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-02-01,4,NA,NA,NA
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-03-01,3.8,NA,NA,NA
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-04-01,3,NA,NA,NA
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-05-01,3.2,NA,NA,NA
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-06-01,3.7,NA,NA,NA
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-07-01,4,NA,NA,NA
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-08-01,3.8,NA,NA,NA
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-09-01,3.2,NA,NA,NA
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-10-01,3.4,NA,NA,NA
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-11-01,3.4,NA,NA,NA
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-12-01,3.4,NA,NA,NA
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2020-01-01,4,4.4,-0.40000000000000036,-0.09090909090909098
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2020-02-01,3.6,4,-0.3999999999999999,-0.09999999999999998
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2020-03-01,3.6,3.8,-0.19999999999999973,-0.052631578947368356
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2020-04-01,20.4,3,17.4,5.8
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2020-05-01,13.1,3.2,9.899999999999999,3.0937499999999996
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2020-06-01,13.3,3.7,9.600000000000001,2.5945945945945947
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2020-07-01,10.2,4,6.199999999999999,1.5499999999999998
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2020-08-01,8.3,3.8,4.500000000000001,1.1842105263157898
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2020-09-01,7.3,3.2,4.1,1.2812499999999998
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2020-10-01,6.7,3.4,3.3000000000000003,0.9705882352941178
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2020-11-01,6.1,3.4,2.6999999999999997,0.7941176470588235
18,IM1843780000000,Unemployment Rate,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2020-12-01,5,3.4,1.6,0.4705882352941177
18,IM1843780000000,Unemployment,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-01-01,6065,NA,NA,NA
18,IM1843780000000,Unemployment,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-02-01,5561,NA,NA,NA
18,IM1843780000000,Unemployment,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-03-01,5285,NA,NA,NA
18,IM1843780000000,Unemployment,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-04-01,4047,NA,NA,NA
18,IM1843780000000,Unemployment,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-05-01,4380,NA,NA,NA
18,IM1843780000000,Unemployment,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-06-01,5090,NA,NA,NA
18,IM1843780000000,Unemployment,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-07-01,5352,NA,NA,NA
18,IM1843780000000,Unemployment,"South Bend-Mishawaka, IN-MI Metropolitan Statistical Area, IN part (U)",2019-08-01,5128,NA,NA,NA
