state_code,area_code,measure,msa_name,area_type,area_state,dt,value,last_yr_value,change,per_change
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2019-01-01,3.7,NA,NA,NA
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2019-02-01,3.2,NA,NA,NA
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2019-03-01,3,NA,NA,NA
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2019-04-01,2.4,NA,NA,NA
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2019-05-01,2.7,NA,NA,NA
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2019-06-01,3.1,NA,NA,NA
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2019-07-01,3.6,NA,NA,NA
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2019-08-01,3,NA,NA,NA
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2019-09-01,2.8,NA,NA,NA
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2019-10-01,2.9,NA,NA,NA
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2019-11-01,2.9,NA,NA,NA
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2019-12-01,2.7,NA,NA,NA
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2020-01-01,3,3.7,-0.7000000000000002,-0.18918918918918923
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2020-02-01,2.8,3.2,-0.40000000000000036,-0.1250000000000001
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2020-03-01,3.1,3,0.10000000000000009,0.03333333333333336
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2020-04-01,30.8,2.4,28.400000000000002,11.833333333333334
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2020-05-01,11.4,2.7,8.7,3.222222222222222
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2020-06-01,9.5,3.1,6.4,2.064516129032258
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2020-07-01,8.7,3.6,5.1,1.4166666666666665
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2020-08-01,6.4,3,3.4000000000000004,1.1333333333333335
18,MT1821140000000,Unemployment Rate,Elkhart - Goshen,IN Metropolitan Statistical Area (U),NA,2020-09-01,5.2,2.8,2.4000000000000004,0.8571428571428573
