state_code,area_code,supersector_code,industry_code,industry_name,area_name,dt,total_employment,last_yr_emp,change,per_change
18,43780,00,00000000,Total Nonfarm,"South Bend-Mishawaka, IN-MI",2019-01-01,143700,NA,NA,NA
18,43780,00,00000000,Total Nonfarm,"South Bend-Mishawaka, IN-MI",2019-02-01,144300,NA,NA,NA
18,43780,00,00000000,Total Nonfarm,"South Bend-Mishawaka, IN-MI",2019-03-01,144600,NA,NA,NA
18,43780,00,00000000,Total Nonfarm,"South Bend-Mishawaka, IN-MI",2019-04-01,145100,NA,NA,NA
18,43780,00,00000000,Total Nonfarm,"South Bend-Mishawaka, IN-MI",2019-05-01,146300,NA,NA,NA
18,43780,00,00000000,Total Nonfarm,"South Bend-Mishawaka, IN-MI",2019-06-01,143800,NA,NA,NA
18,43780,00,00000000,Total Nonfarm,"South Bend-Mishawaka, IN-MI",2019-07-01,140700,NA,NA,NA
18,43780,00,00000000,Total Nonfarm,"South Bend-Mishawaka, IN-MI",2019-08-01,141900,NA,NA,NA
18,43780,00,00000000,Total Nonfarm,"South Bend-Mishawaka, IN-MI",2019-09-01,146300,NA,NA,NA
18,43780,00,00000000,Total Nonfarm,"South Bend-Mishawaka, IN-MI",2019-10-01,145200,NA,NA,NA
18,43780,00,00000000,Total Nonfarm,"South Bend-Mishawaka, IN-MI",2019-11-01,145900,NA,NA,NA
18,43780,00,00000000,Total Nonfarm,"South Bend-Mishawaka, IN-MI",2019-12-01,145600,NA,NA,NA
18,43780,00,00000000,Total Nonfarm,"South Bend-Mishawaka, IN-MI",2020-01-01,142000,143700,-1700,-0.011830201809324982
18,43780,00,00000000,Total Nonfarm,"South Bend-Mishawaka, IN-MI",2020-02-01,143800,144300,-500,-0.003465003465003465
18,43780,00,00000000,Total Nonfarm,"South Bend-Mishawaka, IN-MI",2020-03-01,143100,144600,-1500,-0.01037344398340249
18,43780,00,00000000,Total Nonfarm,"South Bend-Mishawaka, IN-MI",2020-04-01,122200,145100,-22900,-0.1578221915920055
18,43780,00,00000000,Total Nonfarm,"South Bend-Mishawaka, IN-MI",2020-05-01,124300,146300,-22000,-0.15037593984962405
18,43780,00,00000000,Total Nonfarm,"South Bend-Mishawaka, IN-MI",2020-06-01,128600,143800,-15200,-0.10570236439499305
18,43780,00,00000000,Total Nonfarm,"South Bend-Mishawaka, IN-MI",2020-07-01,128400,140700,-12300,-0.08742004264392324
