state_code,area_code,supersector_code,industry_code,industry_name,msa_name,st,dt,total_employment,last_yr_emp,change,per_change
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2019-01-01,139100,NA,NA,NA
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2019-02-01,138900,NA,NA,NA
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2019-03-01,139500,NA,NA,NA
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2019-04-01,138600,NA,NA,NA
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2019-05-01,139400,NA,NA,NA
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2019-06-01,140000,NA,NA,NA
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2019-07-01,130800.00000000001,NA,NA,NA
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2019-08-01,137500,NA,NA,NA
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2019-09-01,136800,NA,NA,NA
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2019-10-01,136300,NA,NA,NA
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2019-11-01,136200,NA,NA,NA
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2019-12-01,136700,NA,NA,NA
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2020-01-01,135000,139100,-4100,-0.029475197699496764
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2020-02-01,135600,138900,-3300,-0.023758099352051837
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2020-03-01,135300,139500,-4200,-0.030107526881720432
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2020-04-01,89700,138600,-48900,-0.3528138528138528
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2020-05-01,122600,139400,-16800,-0.12051649928263988
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2020-06-01,127900,140000,-12100,-0.08642857142857142
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2020-07-01,128199.99999999999,130800.00000000001,-2600.000000000029,-0.019877675840978815
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2020-08-01,131900,137500,-5600,-0.04072727272727273
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2020-09-01,133400,136800,-3400,-0.024853801169590642
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2020-10-01,135000,136300,-1300,-0.009537784299339692
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2020-11-01,134900,136200,-1300,-0.009544787077826725
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2020-12-01,136100,136700,-600,-0.0043891733723482075
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2021-01-01,134700,135000,-300,-0.0022222222222222222
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2021-02-01,135100,135600,-500,-0.003687315634218289
18,21140,00,00000000,Total Nonfarm,Elkhart - Goshen,IN,2021-03-01,136700,135300,1400,0.010347376201034738
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2019-01-01,130400,NA,NA,NA
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2019-02-01,130100,NA,NA,NA
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2019-03-01,130699.99999999999,NA,NA,NA
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2019-04-01,129900,NA,NA,NA
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2019-05-01,130500,NA,NA,NA
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2019-06-01,131000,NA,NA,NA
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2019-07-01,123600,NA,NA,NA
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2019-08-01,128900,NA,NA,NA
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2019-09-01,128000,NA,NA,NA
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2019-10-01,127400,NA,NA,NA
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2019-11-01,127300,NA,NA,NA
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2019-12-01,127800,NA,NA,NA
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2020-01-01,126000,130400,-4400,-0.03374233128834356
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2020-02-01,126800,130100,-3300,-0.02536510376633359
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2020-03-01,126400,130699.99999999999,-4299.999999999985,-0.03289977046671757
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2020-04-01,81200,129900,-48700,-0.37490377213240955
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2020-05-01,114100,130500,-16400,-0.12567049808429118
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2020-06-01,119500,131000,-11500,-0.08778625954198473
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2020-07-01,121200,123600,-2400,-0.019417475728155338
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2020-08-01,123600,128900,-5300,-0.041117145073700546
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2020-09-01,124800,128000,-3200,-0.025
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2020-10-01,126400,127400,-1000,-0.007849293563579277
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2020-11-01,126300,127300,-1000,-0.007855459544383346
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2020-12-01,127500,127800,-300,-0.002347417840375587
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2021-01-01,126100,126000,100,7.936507936507937e-4
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2021-02-01,126600,126800,-200,-0.0015772870662460567
18,21140,05,05000000,Total Private,Elkhart - Goshen,IN,2021-03-01,128100,126400,1700,0.013449367088607595
18,21140,06,06000000,Goods Producing,Elkhart - Goshen,IN,2019-01-01,72600,NA,NA,NA
18,21140,06,06000000,Goods Producing,Elkhart - Goshen,IN,2019-02-01,72400,NA,NA,NA
18,21140,06,06000000,Goods Producing,Elkhart - Goshen,IN,2019-03-01,72500,NA,NA,NA
18,21140,06,06000000,Goods Producing,Elkhart - Goshen,IN,2019-04-01,71600,NA,NA,NA
18,21140,06,06000000,Goods Producing,Elkhart - Goshen,IN,2019-05-01,71700,NA,NA,NA
18,21140,06,06000000,Goods Producing,Elkhart - Goshen,IN,2019-06-01,72000,NA,NA,NA
18,21140,06,06000000,Goods Producing,Elkhart - Goshen,IN,2019-07-01,65400.00000000001,NA,NA,NA
