area,area_title,area_type,naics,naics_title,i_group,own_code,occ_code,occ_title,o_group,tot_emp,emp_prse,jobs_1000,loc_quotient,pct_total,h_mean,a_mean,mean_prse,h_pct10,h_pct25,h_median,h_pct75,h_pct90,a_pct10,a_pct25,a_median,a_pct75,a_pct90,annual,hourly
43780,"South Bend-Mishawaka, IN-MI",4,000000,Cross-industry,cross-industry,1235,11-0000,Management Occupations,major,6660,3.6,49.674999999999997,0.91,NA,49.96,103920,2.6,21.05,29.28,41.87,60.28,89.42,43780,60910,87100,125380,186000,NA,NA
43780,"South Bend-Mishawaka, IN-MI",4,000000,Cross-industry,cross-industry,1235,13-0000,Business and Financial Operations Occupations,major,5110,4.5999999999999996,38.125,0.68,NA,31.39,65280,2.4,15.85,21.13,28.14,37.4,51.01,32960,43940,58530,77780,106100,NA,NA
43780,"South Bend-Mishawaka, IN-MI",4,000000,Cross-industry,cross-industry,1235,15-0000,Computer and Mathematical Occupations,major,2030,5.4,15.180999999999999,0.49,NA,33.24,69140,3.6,17.37,22.77,29.56,38.57,49.4,36130,47370,61490,80220,102760,NA,NA
43780,"South Bend-Mishawaka, IN-MI",4,000000,Cross-industry,cross-industry,1235,17-0000,Architecture and Engineering Occupations,major,1690,7.5,12.587999999999999,0.71,NA,33.92,70560,2.8,17.95,23.26,32.25,42.05,50.91,37330,48390,67090,87470,105890,NA,NA
43780,"South Bend-Mishawaka, IN-MI",4,000000,Cross-industry,cross-industry,1235,19-0000,"Life, Physical, and Social Science Occupations",major,740,6.8,5.5369999999999999,0.63,NA,33.03,68700,9.4,15.88,19.47,27.04,36.17,49.13,33030,40490,56250,75230,102190,NA,NA
43780,"South Bend-Mishawaka, IN-MI",4,000000,Cross-industry,cross-industry,1235,21-0000,Community and Social Service Occupations,major,2230,4.0999999999999996,16.657,1.0900000000000001,NA,20.93,43530,3.3,13.32,16.14,18.940000000000001,24.73,30.55,27700,33580,39390,51430,63540,NA,NA
43780,"South Bend-Mishawaka, IN-MI",4,000000,Cross-industry,cross-industry,1235,23-0000,Legal Occupations,major,400,13.3,2.99,0.38,NA,*,*,*,*,*,*,*,*,*,*,*,*,*,NA,NA
43780,"South Bend-Mishawaka, IN-MI",4,000000,Cross-industry,cross-industry,1235,25-0000,Educational Instruction and Library Occupations,major,10470,8.1,78.132999999999996,1.29,NA,*,*,*,*,*,*,*,*,*,*,*,*,*,NA,NA
43780,"South Bend-Mishawaka, IN-MI",4,000000,Cross-industry,cross-industry,1235,27-0000,"Arts, Design, Entertainment, Sports, and Media Occupations",major,2180,6.8,16.283000000000001,1.19,NA,28.17,58580,12.1,10.5,14.14,20.82,28.92,48.34,21830,29410,43300,60160,100560,NA,NA
43780,"South Bend-Mishawaka, IN-MI",4,000000,Cross-industry,cross-industry,1235,29-0000,Healthcare Practitioners and Technical Occupations,major,7700,2.6,57.438000000000002,0.97,NA,37.58,78180,5.0999999999999996,16.02,21.81,28.81,38.1,65.62,33330,45360,59920,79240,136490,NA,NA
43780,"South Bend-Mishawaka, IN-MI",4,000000,Cross-industry,cross-industry,1235,31-0000,Healthcare Support Occupations,major,5400,6,40.335000000000001,0.91,NA,14.28,29690,2.2999999999999998,10.220000000000001,11.19,13.22,16.32,19.64,21250,23270,27500,33940,40850,NA,NA
43780,"South Bend-Mishawaka, IN-MI",4,000000,Cross-industry,cross-industry,1235,33-0000,Protective Service Occupations,major,3120,15.5,23.276,0.98,NA,21.87,45480,5.4,10.45,13.37,21.33,28.78,35.15,21730,27810,44370,59870,73110,NA,NA
43780,"South Bend-Mishawaka, IN-MI",4,000000,Cross-industry,cross-industry,1235,35-0000,Food Preparation and Serving Related Occupations,major,13420,3.1,100.15300000000001,1.0900000000000001,NA,11.65,24220,2,8.16,8.9700000000000006,10.37,12.74,16.89,16970,18650,21560,26500,35140,NA,NA
43780,"South Bend-Mishawaka, IN-MI",4,000000,Cross-industry,cross-industry,1235,37-0000,Building and Grounds Cleaning and Maintenance Occupations,major,3720,6.2,27.802,0.92,NA,14.52,30200,3.5,9.67,10.85,13.11,16.8,22.09,20120,22580,27270,34940,45940,NA,NA
43780,"South Bend-Mishawaka, IN-MI",4,000000,Cross-industry,cross-industry,1235,39-0000,Personal Care and Service Occupations,major,2510,10.9,18.756,0.83,NA,13.79,28690,3.2,8.49,9.74,11.7,16.489999999999998,22.3,17650,20260,24330,34300,46380,NA,NA
43780,"South Bend-Mishawaka, IN-MI",4,000000,Cross-industry,cross-industry,1235,41-0000,Sales and Related Occupations,major,13500,3.5,100.77500000000001,1.03,NA,19.87,41330,3.7,8.8699999999999992,10.39,13.53,22.01,37.340000000000003,18450,21620,28130,45790,77670,NA,NA
